 Prog 13440
 096089 Date : 19.04.12 01:06:08  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -129 dB
      Pass duration : ???s   NOPC : ?
      Calcul freq : 401 677361.8 Hz   Altitude :    0 m
              78          201           44
 096089 Date : 19.04.12 03:37:33  LC : 2  IQ : 56
      Lat1 : 42.945S  Lon1 : 147.378E  Lat2 : 39.308S  Lon2 : 165.009E
      Nb mes : 018  Nb mes>-120dB : 000  Best level : -124 dB
      Pass duration : 588s   NOPC : 3
      Calcul freq : 401 677287.4 Hz   Altitude :    0 m
              79          203           44
 096089 Date : 19.04.12 03:45:15  LC : 0  IQ : 52
      Lat1 : 42.892S  Lon1 : 147.465E  Lat2 : 33.245S  Lon2 : 167.103W
      Nb mes : 008  Nb mes>-120dB : 000  Best level : -132 dB
      Pass duration : 224s   NOPC : 3
      Calcul freq : 401 677249.9 Hz   Altitude :    0 m
              79          203           44
 096089 Date : 19.04.12 05:19:03  LC : 1  IQ : 58
      Lat1 : 42.937S  Lon1 : 147.381E  Lat2 : 48.846S  Lon2 : 117.504E
      Nb mes : 017  Nb mes>-120dB : 000  Best level : -126 dB
      Pass duration : 504s   NOPC : 4
      Calcul freq : 401 677303.7 Hz   Altitude :    0 m
              80          203           44
 096089 Date : 19.04.12 05:28:52  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 018  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 616s   NOPC : ?
      Calcul freq : 401 677287.4 Hz   Altitude :    0 m
              80          202           44
 096089 Date : 19.04.12 06:45:09  LC : 3  IQ : 66
      Lat1 : 42.951S  Lon1 : 147.350E  Lat2 : 39.337S  Lon2 : 165.636E
      Nb mes : 019  Nb mes>-120dB : 000  Best level : -122 dB
      Pass duration : 588s   NOPC : 3
      Calcul freq : 401 677345.0 Hz   Altitude :    0 m
              81          200           43
 096089 Date : 19.04.12 07:06:09  LC : 0  IQ : 66
      Lat1 : 42.950S  Lon1 : 147.389E  Lat2 : 52.884S  Lon2 :  97.594E
      Nb mes : 004  Nb mes>-120dB : 000  Best level : -134 dB
      Pass duration : 140s   NOPC : 1
      Calcul freq : 401 677358.0 Hz   Altitude :    0 m
              81          200           43
 096089 Date : 19.04.12 19:09:12  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -136 dB
      Pass duration : ???s   NOPC : ?
      Calcul freq : 401 677361.1 Hz   Altitude :    0 m
              81          177           43
 096089 Date : 19.04.12 19:47:56  LC : 3  IQ : 66
      Lat1 : 42.951S  Lon1 : 147.354E  Lat2 : 34.440S  Lon2 : 105.545E
      Nb mes : 012  Nb mes>-120dB : 000  Best level : -128 dB
      Pass duration : 392s   NOPC : 3
      Calcul freq : 401 677358.5 Hz   Altitude :    0 m
              81          196           46
 096089 Date : 19.04.12 20:02:24  LC : 3  IQ : 66
      Lat1 : 42.950S  Lon1 : 147.353E  Lat2 : 48.831S  Lon2 : 178.900E
      Nb mes : 023  Nb mes>-120dB : 000  Best level : -124 dB
