 Prog 13440
 096089 Date : 18.04.12 02:04:37  LC : B  IQ : 00
      Lat1 : 42.967S  Lon1 : 147.264E  Lat2 : 30.249S  Lon2 : 151.577W
      Nb mes : 002  Nb mes>-120dB : 000  Best level : -137 dB
      Pass duration : 028s   NOPC : 2
      Calcul freq : 401 677359.1 Hz   Altitude :    0 m
              72          191           33
 096089 Date : 18.04.12 03:48:55  LC : 3  IQ : 60
      Lat1 : 42.952S  Lon1 : 147.346E  Lat2 : 40.349S  Lon2 : 160.131E
      Nb mes : 020  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 616s   NOPC : 1
      Calcul freq : 401 677338.2 Hz   Altitude :    0 m
              73          193           41
 096089 Date : 18.04.12 03:57:05  LC : 2  IQ : 66
      Lat1 : 42.944S  Lon1 : 147.356E  Lat2 : 34.355S  Lon2 : 171.856W
      Nb mes : 010  Nb mes>-120dB : 000  Best level : -132 dB
      Pass duration : 420s   NOPC : 3
      Calcul freq : 401 677336.6 Hz   Altitude :    0 m
              73          193           41
 096089 Date : 18.04.12 05:26:13  LC : B  IQ : 00
      Lat1 : 42.949S  Lon1 : 147.388E  Lat2 : 32.020S  Lon2 : 158.222W
      Nb mes : 002  Nb mes>-120dB : 000  Best level : -134 dB
      Pass duration : 028s   NOPC : 2
      Calcul freq : 401 677338.2 Hz   Altitude :    0 m
              74          194           41
 096089 Date : 18.04.12 05:30:39  LC : 3  IQ : 68
      Lat1 : 42.950S  Lon1 : 147.359E  Lat2 : 49.725S  Lon2 : 112.386E
      Nb mes : 016  Nb mes>-120dB : 000  Best level : -127 dB
      Pass duration : 448s   NOPC : 3
      Calcul freq : 401 677343.9 Hz   Altitude :    0 m
              74          194           41
 096089 Date : 18.04.12 05:36:57  LC : 3  IQ : 68
      Lat1 : 42.949S  Lon1 : 147.359E  Lat2 : 44.287S  Lon2 : 140.858E
      Nb mes : 016  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 532s   NOPC : 4
      Calcul freq : 401 677344.6 Hz   Altitude :    0 m
              74          194           41
 096089 Date : 18.04.12 07:05:51  LC : 0  IQ : 68
      Lat1 : 42.951S  Lon1 : 147.324E  Lat2 : 41.664S  Lon2 : 153.884E
      Nb mes : 007  Nb mes>-120dB : 000  Best level : -128 dB
      Pass duration : 168s   NOPC : 2
      Calcul freq : 401 677356.2 Hz   Altitude :    0 m
              75          194           41
 096089 Date : 18.04.12 19:17:04  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -137 dB
      Pass duration : ???s   NOPC : ?
      Calcul freq : 401 677338.2 Hz   Altitude :    0 m
              75          185           40
 096089 Date : 18.04.12 20:14:00  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -137 dB
      Pass duration : ???s   NOPC : ?
      Calcul freq : 401 677361.8 Hz   Altitude :    0 m
              75          194           41
 096089 Date : 18.04.12 20:26:35  LC : 3  IQ : 60
      Lat1 : 42.950S  Lon1 : 147.352E  Lat2 : 46.789S  Lon2 : 167.751E
      Nb mes : 015  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 504s   NOPC : 3
      Calcul freq : 401 677363.8 Hz   Altitude :    0 m
              76          194           41
 096089 Date : 18.04.12 20:58:33  LC : 3  IQ : 66
      Lat1 : 42.953S  Lon1 : 147.354E  Lat2 : 48.057S  Lon2 : 172.412E
      Nb mes : 015  Nb mes>-120dB : 000  Best level : -121 dB
      Pass duration : 532s   NOPC : 3
      Calcul freq : 401 677361.9 Hz   Altitude :    0 m
              76          195           41
 096089 Date : 18.04.12 21:44:31  LC : 3  IQ : 68
      Lat1 : 42.953S  Lon1 : 147.354E  Lat2 : 50.895S  Lon2 : 172.004W
      Nb mes : 015  Nb mes>-120dB : 000  Best level : -121 dB
      Pass duration : 448s   NOPC : 4
      Calcul freq : 401 677360.0 Hz   Altitude :    0 m
              76          195           42
 096089 Date : 18.04.12 22:07:37  LC : 3  IQ : 68
      Lat1 : 42.944S  Lon1 : 147.339E  Lat2 : 37.656S  Lon2 : 120.454E
      Nb mes : 013  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 476s   NOPC : 4
      Calcul freq : 401 677352.5 Hz   Altitude :    0 m
              76          197           43
 096089 Date : 18.04.12 22:39:21  LC : 3  IQ : 67
      Lat1 : 42.950S  Lon1 : 147.352E  Lat2 : 38.293S  Lon2 : 125.190E
      Nb mes : 011  Nb mes>-120dB : 000  Best level : -129 dB
      Pass duration : 364s   NOPC : 4
      Calcul freq : 401 677332.7 Hz   Altitude :    0 m
              77          199           43
 096089 Date : 18.04.12 23:22:59  LC : 2  IQ : 58
      Lat1 : 42.951S  Lon1 : 147.349E  Lat2 : 41.565S  Lon2 : 140.307E
      Nb mes : 011  Nb mes>-120dB : 000  Best level : -123 dB
      Pass duration : 448s   NOPC : 3
      Calcul freq : 401 677334.4 Hz   Altitude :    0 m
              77          199           43
 096089 Date : 19.04.12 01:06:08  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -129 dB
      Pass duration : ???s   NOPC : ?
      Calcul freq : 401 677361.8 Hz   Altitude :    0 m
              78          201           44
 096089 Date : 19.04.12 03:37:33  LC : 2  IQ : 56
      Lat1 : 42.945S  Lon1 : 147.378E  Lat2 : 39.308S  Lon2 : 165.009E
      Nb mes : 018  Nb mes>-120dB : 000  Best level : -124 dB
      Pass duration : 588s   NOPC : 3
      Calcul freq : 401 677287.4 Hz   Altitude :    0 m
              79          203           44
 096089 Date : 19.04.12 03:45:15  LC : 0  IQ : 52
      Lat1 : 42.892S  Lon1 : 147.465E  Lat2 : 33.245S  Lon2 : 167.103W
      Nb mes : 008  Nb mes>-120dB : 000  Best level : -132 dB
      Pass duration : 224s   NOPC : 3
      Calcul freq : 401 677249.9 Hz   Altitude :    0 m
              79          203           44
 096089 Date : 19.04.12 05:19:03  LC : 1  IQ : 58
      Lat1 : 42.937S  Lon1 : 147.381E  Lat2 : 48.846S  Lon2 : 117.504E
      Nb mes : 017  Nb mes>-120dB : 000  Best level : -126 dB
      Pass duration : 504s   NOPC : 4
      Calcul freq : 401 677303.7 Hz   Altitude :    0 m
              80          203           44
 096089 Date : 19.04.12 05:28:52  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 018  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 616s   NOPC : ?
      Calcul freq : 401 677287.4 Hz   Altitude :    0 m
              80          202           44
 096089 Date : 19.04.12 06:45:09  LC : 3  IQ : 66
      Lat1 : 42.951S  Lon1 : 147.350E  Lat2 : 39.337S  Lon2 : 165.636E
      Nb mes : 019  Nb mes>-120dB : 000  Best level : -122 dB
      Pass duration : 588s   NOPC : 3
      Calcul freq : 401 677345.0 Hz   Altitude :    0 m
              81          200           43
 096089 Date : 19.04.12 07:06:09  LC : 0  IQ : 66
      Lat1 : 42.950S  Lon1 : 147.389E  Lat2 : 52.884S  Lon2 :  97.594E
      Nb mes : 004  Nb mes>-120dB : 000  Best level : -134 dB
      Pass duration : 140s   NOPC : 1
      Calcul freq : 401 677358.0 Hz   Altitude :    0 m
              81          200           43
 096089 Date : 19.04.12 19:09:12  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -136 dB
      Pass duration : ???s   NOPC : ?
      Calcul freq : 401 677345.4 Hz   Altitude :    0 m
              81          177           43
 096090 Date : 18.04.12 03:48:19  LC : 3  IQ : 60
      Lat1 : 42.952S  Lon1 : 147.347E  Lat2 : 40.351S  Lon2 : 160.075E
      Nb mes : 017  Nb mes>-120dB : 000  Best level : -123 dB
      Pass duration : 570s   NOPC : 1
      Calcul freq : 401 677141.8 Hz   Altitude :    0 m
              56          197           43
 096090 Date : 18.04.12 03:56:38  LC : 3  IQ : 68
      Lat1 : 42.948S  Lon1 : 147.355E  Lat2 : 34.288S  Lon2 : 171.881W
      Nb mes : 007  Nb mes>-120dB : 000  Best level : -132 dB
      Pass duration : 484s   NOPC : 4
      Calcul freq : 401 677142.4 Hz   Altitude :    0 m
              56          197           43
 096090 Date : 18.04.12 05:26:53  LC : B  IQ : 00
      Lat1 : 42.954S  Lon1 : 147.346E  Lat2 : 32.191S  Lon2 : 158.276W
      Nb mes : 002  Nb mes>-120dB : 000  Best level : -136 dB
      Pass duration : 200s   NOPC : 1
      Calcul freq : 401 677151.9 Hz   Altitude :    0 m
              57          197           43
 096090 Date : 18.04.12 05:30:26  LC : 3  IQ : 68
      Lat1 : 42.950S  Lon1 : 147.362E  Lat2 : 49.738S  Lon2 : 112.405E
      Nb mes : 014  Nb mes>-120dB : 000  Best level : -126 dB
      Pass duration : 456s   NOPC : 4
      Calcul freq : 401 677151.9 Hz   Altitude :    0 m
              57          197           43
 096090 Date : 18.04.12 05:38:31  LC : 2  IQ : 56
      Lat1 : 42.947S  Lon1 : 147.364E  Lat2 : 44.260S  Lon2 : 140.920E
      Nb mes : 017  Nb mes>-120dB : 000  Best level : -122 dB
      Pass duration : 570s   NOPC : 3
      Calcul freq : 401 677153.9 Hz   Altitude :    0 m
              57          197           43
 096090 Date : 18.04.12 19:18:59  LC : A  IQ : 00
      Lat1 : 42.959S  Lon1 : 147.346E  Lat2 : 57.177S  Lon2 : 138.119W
      Nb mes : 003  Nb mes>-120dB : 000  Best level : -134 dB
      Pass duration : 199s   NOPC : 3
      Calcul freq : 401 677178.6 Hz   Altitude :    0 m
              58          192           42
 096090 Date : 18.04.12 20:13:23  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -136 dB
      Pass duration : ???s   NOPC : ?
      Calcul freq : 401 677181.9 Hz   Altitude :    0 m
              58          196           44
 096090 Date : 18.04.12 20:26:26  LC : 3  IQ : 68
      Lat1 : 42.950S  Lon1 : 147.351E  Lat2 : 46.788S  Lon2 : 167.756E
      Nb mes : 013  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 456s   NOPC : 4
      Calcul freq : 401 677181.9 Hz   Altitude :    0 m
              58          196           43
 096090 Date : 18.04.12 20:57:18  LC : 3  IQ : 68
      Lat1 : 42.952S  Lon1 : 147.355E  Lat2 : 47.978S  Lon2 : 172.399E
      Nb mes : 016  Nb mes>-120dB : 000  Best level : -127 dB
      Pass duration : 541s   NOPC : 4
      Calcul freq : 401 677179.4 Hz   Altitude :    0 m
              59          197           44
 096090 Date : 18.04.12 21:44:06  LC : 3  IQ : 68
      Lat1 : 42.955S  Lon1 : 147.358E  Lat2 : 50.857S  Lon2 : 172.131W
      Nb mes : 014  Nb mes>-120dB : 002  Best level : -119 dB
      Pass duration : 513s   NOPC : 4
      Calcul freq : 401 677176.2 Hz   Altitude :    0 m
              59          198           44
 096090 Date : 18.04.12 22:07:22  LC : 2  IQ : 68
      Lat1 : 42.947S  Lon1 : 147.340E  Lat2 : 37.665S  Lon2 : 120.394E
      Nb mes : 011  Nb mes>-120dB : 000  Best level : -126 dB
      Pass duration : 456s   NOPC : 4
      Calcul freq : 401 677167.0 Hz   Altitude :    0 m
              59          199           44
 096090 Date : 18.04.12 22:39:54  LC : 3  IQ : 68
      Lat1 : 42.951S  Lon1 : 147.357E  Lat2 : 38.280S  Lon2 : 125.219E
      Nb mes : 011  Nb mes>-120dB : 000  Best level : -128 dB
      Pass duration : 428s   NOPC : 4
      Calcul freq : 401 677157.0 Hz   Altitude :    0 m
              59          199           44
 096090 Date : 18.04.12 23:23:51  LC : 2  IQ : 57
      Lat1 : 42.952S  Lon1 : 147.346E  Lat2 : 41.534S  Lon2 : 140.304E
      Nb mes : 011  Nb mes>-120dB : 004  Best level : -117 dB
      Pass duration : 513s   NOPC : 3
      Calcul freq : 401 677145.4 Hz   Altitude :    0 m
              60          201           44
 096090 Date : 19.04.12 03:38:41  LC : 3  IQ : 67
      Lat1 : 42.937S  Lon1 : 147.376E  Lat2 : 39.337S  Lon2 : 165.047E
      Nb mes : 020  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 684s   NOPC : 3
      Calcul freq : 401 677075.5 Hz   Altitude :    0 m
              62          205           45
 096090 Date : 19.04.12 03:45:48  LC : 0  IQ : 56
      Lat1 : 42.933S  Lon1 : 147.381E  Lat2 : 33.208S  Lon2 : 166.897W
      Nb mes : 007  Nb mes>-120dB : 000  Best level : -131 dB
      Pass duration : 371s   NOPC : 2
      Calcul freq : 401 677072.8 Hz   Altitude :    0 m
              62          206           45
 096090 Date : 19.04.12 05:19:23  LC : 2  IQ : 56
      Lat1 : 42.944S  Lon1 : 147.368E  Lat2 : 48.826S  Lon2 : 117.526E
      Nb mes : 022  Nb mes>-120dB : 000  Best level : -123 dB
      Pass duration : 684s   NOPC : 3
      Calcul freq : 401 677121.4 Hz   Altitude :    0 m
              63          204           44
 096090 Date : 19.04.12 05:32:56  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 018  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 599s   NOPC : ?
      Calcul freq : 401 677073.9 Hz   Altitude :    0 m
              63          204           44
 096090 Date : 19.04.12 06:43:27  LC : 3  IQ : 56
      Lat1 : 42.950S  Lon1 : 147.347E  Lat2 : 39.288S  Lon2 : 165.567E
      Nb mes : 014  Nb mes>-120dB : 000  Best level : -123 dB
      Pass duration : 484s   NOPC : 3
      Calcul freq : 401 677157.4 Hz   Altitude :    0 m
              63          203           44
 096091 Date : 18.04.12 02:06:27  LC : A  IQ : 08
      Lat1 : 42.940S  Lon1 : 147.362E  Lat2 : 30.380S  Lon2 : 152.961W
      Nb mes : 003  Nb mes>-120dB : 000  Best level : -137 dB
      Pass duration : 232s   NOPC : 3
      Calcul freq : 401 677371.5 Hz   Altitude :    0 m
              55          198           46
 096091 Date : 18.04.12 03:49:09  LC : 3  IQ : 60
      Lat1 : 42.953S  Lon1 : 147.348E  Lat2 : 40.373S  Lon2 : 160.106E
      Nb mes : 016  Nb mes>-120dB : 000  Best level : -126 dB
      Pass duration : 667s   NOPC : 1
      Calcul freq : 401 677372.7 Hz   Altitude :    0 m
              56          200           47
 096091 Date : 18.04.12 03:56:24  LC : 2  IQ : 66
      Lat1 : 42.946S  Lon1 : 147.359E  Lat2 : 34.351S  Lon2 : 172.045W
      Nb mes : 011  Nb mes>-120dB : 000  Best level : -133 dB
      Pass duration : 319s   NOPC : 3
      Calcul freq : 401 677370.5 Hz   Altitude :    0 m
              56          200           47
 096091 Date : 18.04.12 05:26:04  LC : B  IQ : 00
      Lat1 : 42.941S  Lon1 : 147.358E  Lat2 : 31.959S  Lon2 : 158.153W
      Nb mes : 002  Nb mes>-120dB : 000  Best level : -134 dB
      Pass duration : 058s   NOPC : 2
      Calcul freq : 401 677372.7 Hz   Altitude :    0 m
              56          200           47
 096091 Date : 18.04.12 05:29:27  LC : 3  IQ : 68
      Lat1 : 42.949S  Lon1 : 147.359E  Lat2 : 49.854S  Lon2 : 112.471E
