 Prog 13440
 096089 Date : 17.04.12 00:05:18  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 007  Nb mes>-120dB :      Best level :      dB
      Pass duration : 196s   NOPC : ?
      Calcul freq : 401 650000.0 Hz   Altitude :    0 m
              65          178           41
 096089 Date : 17.04.12 02:15:30  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 002  Nb mes>-120dB : 000  Best level : -137 dB
      Pass duration : 028s   NOPC : ?
      Calcul freq : 401 677373.3 Hz   Altitude :    0 m
              66          173           37
 096089 Date : 17.04.12 03:59:34  LC : 2  IQ : 56
      Lat1 : 42.951S  Lon1 : 147.345E  Lat2 : 41.390S  Lon2 : 155.053E
      Nb mes : 015  Nb mes>-120dB : 000  Best level : -129 dB
      Pass duration : 504s   NOPC : 3
      Calcul freq : 401 677334.2 Hz   Altitude :    0 m
              67          171           37
 096089 Date : 17.04.12 04:07:30  LC : 3  IQ : 68
      Lat1 : 42.949S  Lon1 : 147.348E  Lat2 : 35.441S  Lon2 : 177.126W
      Nb mes : 013  Nb mes>-120dB : 000  Best level : -129 dB
      Pass duration : 392s   NOPC : 4
      Calcul freq : 401 677336.9 Hz   Altitude :    0 m
              67          171           37
 096089 Date : 17.04.12 05:39:54  LC : 2  IQ : 68
      Lat1 : 42.946S  Lon1 : 147.351E  Lat2 : 50.768S  Lon2 : 107.250E
      Nb mes : 004  Nb mes>-120dB : 000  Best level : -129 dB
      Pass duration : 280s   NOPC : 4
      Calcul freq : 401 677350.0 Hz   Altitude :    0 m
              68          171           37
 096089 Date : 17.04.12 05:50:52  LC : 2  IQ : 66
      Lat1 : 42.952S  Lon1 : 147.350E  Lat2 : 34.221S  Lon2 : 170.500W
      Nb mes : 007  Nb mes>-120dB : 000  Best level : -133 dB
      Pass duration : 420s   NOPC : 3
      Calcul freq : 401 677355.9 Hz   Altitude :    0 m
              68          171           37
 096089 Date : 17.04.12 05:48:18  LC : 3  IQ : 66
      Lat1 : 42.949S  Lon1 : 147.355E  Lat2 : 45.350S  Lon2 : 135.644E
      Nb mes : 013  Nb mes>-120dB : 000  Best level : -127 dB
      Pass duration : 448s   NOPC : 3
      Calcul freq : 401 677353.7 Hz   Altitude :    0 m
              68          171           37
 096090 Date : 16.04.12 23:07:58  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -134 dB
      Pass duration : ???s   NOPC : ?
      Calcul freq : 401 677211.2 Hz   Altitude :    0 m
              48          174          201
 096090 Date : 17.04.12 00:08:46  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 007  Nb mes>-120dB :      Best level :      dB
      Pass duration : 370s   NOPC : ?
      Calcul freq : 401 650000.0 Hz   Altitude :    0 m
              48          175           39
 096090 Date : 17.04.12 02:14:52  LC : 0  IQ : 60
      Lat1 : 42.943S  Lon1 : 147.336E  Lat2 : 31.480S  Lon2 : 158.373W
      Nb mes : 005  Nb mes>-120dB : 000  Best level : -137 dB
      Pass duration : 200s   NOPC : 0
      Calcul freq : 401 677149.6 Hz   Altitude :    0 m
              49          183           40
 096090 Date : 17.04.12 03:59:37  LC : 2  IQ : 56
      Lat1 : 42.952S  Lon1 : 147.340E  Lat2 : 41.382S  Lon2 : 155.053E
      Nb mes : 018  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 684s   NOPC : 3
      Calcul freq : 401 677138.3 Hz   Altitude :    0 m
              50          186           41
 096090 Date : 17.04.12 04:08:24  LC : 3  IQ : 66
      Lat1 : 42.950S  Lon1 : 147.344E  Lat2 : 35.467S  Lon2 : 176.954W
      Nb mes : 016  Nb mes>-120dB : 000  Best level : -129 dB
      Pass duration : 542s   NOPC : 3
      Calcul freq : 401 677142.5 Hz   Altitude :    0 m
              50          186           41
 096090 Date : 17.04.12 05:41:16  LC : 3  IQ : 67
      Lat1 : 42.948S  Lon1 : 147.363E  Lat2 : 50.660S  Lon2 : 107.241E
      Nb mes : 013  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 399s   NOPC : 3
      Calcul freq : 401 677166.9 Hz   Altitude :    0 m
              51          186           41
 096090 Date : 17.04.12 05:49:34  LC : 1  IQ : 66
      Lat1 : 42.948S  Lon1 : 147.328E  Lat2 : 34.361S  Lon2 : 170.826W
      Nb mes : 007  Nb mes>-120dB : 000  Best level : -131 dB
      Pass duration : 200s   NOPC : 1
      Calcul freq : 401 677172.3 Hz   Altitude :    0 m
              51          186           41
 096090 Date : 17.04.12 05:47:55  LC : 3  IQ : 67
      Lat1 : 42.948S  Lon1 : 147.354E  Lat2 : 45.371S  Lon2 : 135.562E
      Nb mes : 018  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 513s   NOPC : 4
      Calcul freq : 401 677168.5 Hz   Altitude :    0 m
              51          186           41
 096091 Date : 17.04.12 00:09:46  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 014  Nb mes>-120dB :      Best level :      dB
      Pass duration : 435s   NOPC : ?
      Calcul freq : 401 650000.0 Hz   Altitude :    0 m
              48          172           41
 096091 Date : 17.04.12 02:14:57  LC : Z  IQ : 30
      Lat1 : 42.921S  Lon1 : 147.575E  Lat2 : 31.574S  Lon2 : 158.607W
      Nb mes : 003  Nb mes>-120dB : 000  Best level : -137 dB
      Pass duration : 058s   NOPC : 0
      Calcul freq : 401 677334.8 Hz   Altitude :    0 m
              49          179           42
 096091 Date : 17.04.12 03:58:38  LC : 2  IQ : 50
      Lat1 : 42.951S  Lon1 : 147.338E  Lat2 : 41.372S  Lon2 : 155.098E
      Nb mes : 021  Nb mes>-120dB : 000  Best level : -123 dB
      Pass duration : 667s   NOPC : 1
      Calcul freq : 401 677366.6 Hz   Altitude :    0 m
              50          185           43
 096091 Date : 17.04.12 04:06:22  LC : 1  IQ : 58
      Lat1 : 42.954S  Lon1 : 147.322E  Lat2 : 35.413S  Lon2 : 177.230W
      Nb mes : 016  Nb mes>-120dB : 000  Best level : -131 dB
      Pass duration : 493s   NOPC : 4
      Calcul freq : 401 677375.3 Hz   Altitude :    0 m
              50          185           43
 096091 Date : 17.04.12 05:40:37  LC : 3  IQ : 67
      Lat1 : 42.948S  Lon1 : 147.360E  Lat2 : 50.738S  Lon2 : 107.342E
      Nb mes : 016  Nb mes>-120dB : 000  Best level : -127 dB
      Pass duration : 493s   NOPC : 4
      Calcul freq : 401 677386.9 Hz   Altitude :    0 m
              51          186           43
 096091 Date : 17.04.12 05:50:17  LC : 1  IQ : 66
      Lat1 : 42.947S  Lon1 : 147.356E  Lat2 : 34.315S  Lon2 : 170.692W
      Nb mes : 007  Nb mes>-120dB : 000  Best level : -134 dB
      Pass duration : 261s   NOPC : 1
      Calcul freq : 401 677387.9 Hz   Altitude :    0 m
              51          186           43
 096091 Date : 17.04.12 05:47:52  LC : 3  IQ : 66
      Lat1 : 42.949S  Lon1 : 147.355E  Lat2 : 45.369S  Lon2 : 135.582E
      Nb mes : 020  Nb mes>-120dB : 000  Best level : -126 dB
      Pass duration : 638s   NOPC : 3
      Calcul freq : 401 677388.9 Hz   Altitude :    0 m
              51          186           43
 096092 Date : 17.04.12 00:08:54  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 006  Nb mes>-120dB :      Best level :      dB
      Pass duration : 324s   NOPC : ?
      Calcul freq : 401 650000.0 Hz   Altitude :    0 m
              67          175           39
 096092 Date : 17.04.12 03:59:00  LC : 3  IQ : 66
      Lat1 : 42.951S  Lon1 : 147.345E  Lat2 : 41.383S  Lon2 : 155.047E
      Nb mes : 015  Nb mes>-120dB : 000  Best level : -124 dB
      Pass duration : 472s   NOPC : 3
      Calcul freq : 401 677060.1 Hz   Altitude :    0 m
              69          180           40
 096092 Date : 17.04.12 04:08:21  LC : 3  IQ : 68
      Lat1 : 42.950S  Lon1 : 147.347E  Lat2 : 35.450S  Lon2 : 176.967W
      Nb mes : 010  Nb mes>-120dB : 000  Best level : -134 dB
      Pass duration : 472s   NOPC : 4
      Calcul freq : 401 677063.0 Hz   Altitude :    0 m
              69          180           40
 096092 Date : 17.04.12 05:40:32  LC : 3  IQ : 67
      Lat1 : 42.949S  Lon1 : 147.362E  Lat2 : 50.744S  Lon2 : 107.311E
      Nb mes : 014  Nb mes>-120dB : 000  Best level : -130 dB
      Pass duration : 443s   NOPC : 4
      Calcul freq : 401 677081.2 Hz   Altitude :    0 m
              70          183           41
 096092 Date : 17.04.12 05:49:23  LC : 0  IQ : 66
      Lat1 : 42.950S  Lon1 : 147.352E  Lat2 : 34.392S  Lon2 : 170.880W
      Nb mes : 004  Nb mes>-120dB : 000  Best level : -134 dB
      Pass duration : 147s   NOPC : 1
      Calcul freq : 401 677083.9 Hz   Altitude :    0 m
              70          183           41
 096092 Date : 17.04.12 05:48:54  LC : 3  IQ : 56
      Lat1 : 42.948S  Lon1 : 147.360E  Lat2 : 45.322S  Lon2 : 135.750E
      Nb mes : 015  Nb mes>-120dB : 000  Best level : -126 dB
      Pass duration : 560s   NOPC : 3
      Calcul freq : 401 677083.2 Hz   Altitude :    0 m
              70          183           41
 096093 Date : 17.04.12 00:08:00  LC : Z  IQ : 00
      Lat1 : ???????  Lon1 : ????????  Lat2 : ???????  Lon2 : ????????
      Nb mes : 006  Nb mes>-120dB :      Best level :      dB
