 Prog 13440
 112699 Date : 15.07.12 01:05:04  LC : A  IQ : 08
      Lat1 : 27.554S  Lon1 :  74.470W  Lat2 : 27.554S  Lon2 :  74.470W
      Nb mes : 003  Nb mes>-120dB : 000  Best level : -128 dB
      Pass duration : 391s   NOPC : 3
      Calcul freq : 401 677622.8 Hz   Altitude :    0 m
              30           89          205           62
              93           78           62
 112699 Date : 15.07.12 01:31:30  LC : B  IQ : 00
      Lat1 : 27.554S  Lon1 :  74.470W  Lat2 : 27.554S  Lon2 :  74.470W
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -136 dB
      Pass duration : 000s   NOPC : 3
      Calcul freq : 401 677622.0 Hz   Altitude :    0 m
              30           93           74          124
             244           71           91
 112699 Date : 15.07.12 01:46:31  LC : 2  IQ : 50
      Lat1 : 27.512S  Lon1 :  74.501W  Lat2 : 27.512S  Lon2 :  74.501W
      Nb mes : 007  Nb mes>-120dB : 000  Best level : -128 dB
      Pass duration : 679s   NOPC : 3
      Calcul freq : 401 677623.9 Hz   Altitude :    0 m
              30           89          204           62
              86           78           63
 112699 Date : 15.07.12 03:13:30  LC : 0  IQ : 48
      Lat1 : 27.430S  Lon1 :  74.519W  Lat2 : 27.430S  Lon2 :  74.519W
      Nb mes : 004  Nb mes>-120dB : 000  Best level : -122 dB
      Pass duration : 163s   NOPC : 3
      Calcul freq : 401 677626.7 Hz   Altitude :    0 m
              30           89          204           61
              92           78           64
 112699 Date : 15.07.12 12:11:33  LC : B  IQ : 08
      Lat1 : 26.941S  Lon1 :  74.450W  Lat2 : 26.941S  Lon2 :  74.450W
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -138 dB
      Pass duration : 000s   NOPC : 3
      Calcul freq : 401 677641.5 Hz   Altitude :    0 m
              30           87          207           64
              96           78           73
 112699 Date : 15.07.12 12:52:38  LC : B  IQ : 07
      Lat1 : 26.928S  Lon1 :  74.462W  Lat2 : 26.928S  Lon2 :  74.462W
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -130 dB
      Pass duration : 000s   NOPC : 3
      Calcul freq : 401 677654.1 Hz   Altitude :    0 m
              30           94          207           64
              91           82           80
 112699 Date : 15.07.12 13:06:49  LC : B  IQ : 00
      Lat1 : 26.919S  Lon1 :  74.479W  Lat2 : 26.919S  Lon2 :  74.479W
      Nb mes : 002  Nb mes>-120dB : 000  Best level : -126 dB
      Pass duration : 076s   NOPC : 3
      Calcul freq : 401 677625.0 Hz   Altitude :    0 m
              30           93          207           33
             117          122           64
 112699 Date : 15.07.12 14:32:33  LC : B  IQ : 08
      Lat1 : 26.809S  Lon1 :  74.537W  Lat2 : 26.809S  Lon2 :  74.537W
      Nb mes : 002  Nb mes>-120dB : 000  Best level : -121 dB
      Pass duration : 183s   NOPC : 3
      Calcul freq : 401 677607.9 Hz   Altitude :    0 m
              30           87          238          166
              14          135          235
 112699 Date : 16.07.12 00:37:20  LC : A  IQ : 08
      Lat1 : 26.086S  Lon1 :  74.666W  Lat2 : 26.086S  Lon2 :  74.666W
      Nb mes : 003  Nb mes>-120dB : 000  Best level : -136 dB
      Pass duration : 672s   NOPC : 3
      Calcul freq : 401 677621.2 Hz   Altitude :    0 m
              31           86          206          149
             198          249           31
 112699 Date : 16.07.12 02:50:12  LC : B  IQ : 08
      Lat1 : 25.954S  Lon1 :  74.693W  Lat2 : 25.954S  Lon2 :  74.693W
      Nb mes : 001  Nb mes>-120dB : 000  Best level : -133 dB
      Pass duration : 000s   NOPC : 3
      Calcul freq : 401 677621.0 Hz   Altitude :    0 m
              31           84          207          105
              28          184           69
 121132 Date : 16.07.12 01:31:46  LC : 3  IQ : 50
      Lat1 : 39.663S  Lon1 : 176.877E  Lat2 : 39.663S  Lon2 : 176.877E
      Nb mes : 024  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 750s   NOPC : 3
      Calcul freq : 401 677586.4 Hz   Altitude :    0 m
      0.21244E+2   0.32320E+1   0.21600E+3
 121132 Date : 16.07.12 02:52:41  LC : 3  IQ : 58
      Lat1 : 39.664S  Lon1 : 176.880E  Lat2 : 39.664S  Lon2 : 176.880E
      Nb mes : 024  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 690s   NOPC : 3
      Calcul freq : 401 677580.4 Hz   Altitude :    0 m
      0.23132E+2   0.33600E+1   0.22400E+3
 121132 Date : 16.07.12 03:10:26  LC : 3  IQ : 50
      Lat1 : 39.666S  Lon1 : 176.880E  Lat2 : 39.666S  Lon2 : 176.880E
      Nb mes : 018  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 510s   NOPC : 3
      Calcul freq : 401 677578.1 Hz   Altitude :    0 m
      0.23604E+2   0.33760E+1   0.22400E+3
 121132 Date : 16.07.12 04:29:31  LC : 3  IQ : 58
      Lat1 : 39.664S  Lon1 : 176.878E  Lat2 : 39.664S  Lon2 : 176.878E
      Nb mes : 018  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 690s   NOPC : 3
      Calcul freq : 401 677584.9 Hz   Altitude :    0 m
      0.21480E+2   0.33760E+1   0.22400E+3
 121132 Date : 16.07.12 04:31:46  LC : 3  IQ : 58
      Lat1 : 39.663S  Lon1 : 176.883E  Lat2 : 39.663S  Lon2 : 176.883E
      Nb mes : 019  Nb mes>-120dB : 000  Best level : -126 dB
      Pass duration : 600s   NOPC : 3
      Calcul freq : 401 677584.8 Hz   Altitude :    0 m
      0.21480E+2   0.33760E+1   0.22400E+3
 121136 Date : 16.07.12 01:32:07  LC : 3  IQ : 50
      Lat1 : 39.663S  Lon1 : 176.875E  Lat2 : 39.663S  Lon2 : 176.875E
      Nb mes : 024  Nb mes>-120dB : 000  Best level : -124 dB
      Pass duration : 768s   NOPC : 3
      Calcul freq : 401 677450.4 Hz   Altitude :    0 m
      0.21480E+2   0.34400E+1   0.21600E+3
 121136 Date : 16.07.12 02:52:41  LC : 3  IQ : 58
      Lat1 : 39.664S  Lon1 : 176.880E  Lat2 : 39.664S  Lon2 : 176.880E
      Nb mes : 023  Nb mes>-120dB : 000  Best level : -125 dB
      Pass duration : 704s   NOPC : 3
      Calcul freq : 401 677447.3 Hz   Altitude :    0 m
      0.22896E+2   0.34880E+1   0.22000E+3
 121136 Date : 16.07.12 03:10:33  LC : 3  IQ : 50
      Lat1 : 39.665S  Lon1 : 176.881E  Lat2 : 39.665S  Lon2 : 176.881E
      Nb mes : 017  Nb mes>-120dB : 000  Best level : -124 dB
